"received_at","sender","subject","audit_bucket","gmail_label","inferred_area","identity_assessment","confidence","reason","useful","recommended_action","gmail_url"
"2026-06-24T22:20:10+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19efbb8293f1adc7"
"2026-06-23T05:00:22+00:00","""Academia.edu"" premium@academia-mail.com","A paper published by a member of the Energy Technologies Area department at Lawrence Berkeley National Laboratory mentions the name ""Hunmin Lee""","Needs Review","Academic Signals/Needs Review","Off-profile physical/energy sciences","Likely namesake, but not provable from the email","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19ef2d9d6189fcd6"
"2026-06-22T21:02:47+00:00","Academia Mentions premium@academia-mail.com","Are you the “Hunmin Lee” mentioned in Engineering papers?","Needs Review","Academic Signals/Needs Review","Broad computer science/engineering, identity unverified","Name-only or initials-only match","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19ef124990514982"
"2026-06-22T18:48:14+00:00","Grammarly Insights hello@mail.grammarly.com","📈 See your writing wins + Pro for 50% off!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ef0a966b5f3b9a"
"2026-06-22T10:05:58-06:00","Routledge Books routledgebooks@email.routledge.com","Save 20% on Teaching & Education 🍎","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ef016f8e5ffbb9"
"2026-06-21T20:29:33+00:00","Academia Mentions premium@academia-mail.com","Are you the “Hunmin Lee” mentioned in Gesture Recognition papers?","Needs Review","Academic Signals/Needs Review","Gesture recognition, modality and identity unverified","Topically plausible but name-only","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19eebdfccd8b2e17"
"2026-06-19T19:18:40+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19ee152327efa449"
"2026-06-19T09:33:02+00:00","""Academia.edu"" premium@academia-mail.com","The name ""Hunmin Lee"" is mentioned in an Engineering paper uploaded to Academia","Needs Review","Academic Signals/Needs Review","Broad computer science/engineering, identity unverified","Name-only or initials-only match","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19edf3a0bdd94939"
"2026-06-18T22:01:55+00:00","Netflix House hello@netflixhouse.com","All your Netflix House summer questions, answered","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19edcc1c82182f21"
"2026-06-17T16:24:34-07:00","Google Home googlehome@google.com","Pre-order the new Google Home Speaker","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ed7e69849125da"
"2026-06-17T16:07:25+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Robust Convergence in Federated Learning..."" was cited","Current Research","Academic Signals/Current Research","Federated, personalized, and adaptive learning under heterogeneity","Exact-title match to a core methodological research line","High identity match; citation claim unverified","The subject names the known “Robust Convergence in Federated Learning...” work. This fits the current federated/adaptive-learning line, but the Academia notification is only a citation lead.","Yes","Retain as a lead and verify the citing paper independently before recording a citation.","https://mail.google.com/mail/#all/19ed65669f50eef4"
"2026-06-16T15:26:46+00:00","Academia Mentions premium@academia-mail.com","Your paper ""Real-time Interface Control with Motion..."" was cited","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The subject maps to the known “Real-time Interface Control...” paper. It is a genuine historical lineage; the notification itself does not prove a citation.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19ed10acd3306cac"
"2026-06-15T18:22:08+00:00","Grammarly Insights hello@mail.grammarly.com","This is how it’s done","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ecc84feb972d60"
"2026-06-15T10:05:12-06:00","Routledge Books routledgebooks@email.routledge.com","25% off eBooks: Amazing reads just a click away!","Low Value","Promotions/Low Value","Ordinary non-research promotion","No reliable current research signal","High","Consumer, product, sale, activity-summary, or generic marketing message unrelated to the research profile.","No","Keep under Promotions/Low Value.","https://mail.google.com/mail/#all/19ecc0873fae12e2"
"2026-06-15T09:12:45+00:00","""Academia.edu"" premium@academia-mail.com","Hunmin Lee and ""A BPRCNN Based Hand Motion Classifier Using Electric Field Sensors"" are mentioned in a paper uploaded to Academia","Adjacent or Historical","Academic Signals/Adjacent or Historical","Capacitive/electric-field hand-motion sensing","Exact-title historical match","High identity match; citation claim unverified","The full known BPRCNN paper title is present. It is genuine earlier work, but not the current center of gravity.","Yes, as a historical lead","Keep as historical context; verify any citing paper independently.","https://mail.google.com/mail/#all/19eca8e074242933"
"2026-06-14T14:09:32+00:00","Academia Mentions premium@academia-mail.com","Are you the “Hunmin Lee” mentioned in Gesture papers?","Needs Review","Academic Signals/Needs Review","Gesture recognition, modality and identity unverified","Topically plausible but name-only","Low","The body exposes only “Hunmin Lee” or “H. Lee” plus a broad field, without a matching paper title, coauthors, venue, DOI, or affiliation.","Uncertain","Review only if the linked record reveals an exact known title or corroborating author/venue metadata.","https://mail.google.com/mail/#all/19ec6775ee5480fd"
