sender,subject,date,inferred research area,closest area from profile.md,classification,short reason,useful to me
Routledge Books routledgebooks@email.routledge.com,The End of Year Sale Continues!,2025-12-22T08:08:51-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Computer Science papers?,2025-12-21T20:59:21+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
"""Academia.edu"" premium@academia-mail.com",People in 2 countries have visited your profile,2025-12-20T09:18:48+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Applied Sciences papers?,2025-12-17T13:42:20+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
"""Taylor & Francis"" taylorandfrancis@email.taylorandfrancis.com","""Optimization algorithm for indivisible products to improve the packaging process in multi-head batch weighers"" is ready to read",2025-12-16T18:02:04-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Publisher recommendation, survey, or sales campaign; topical overlap is not evidence of research identity.",No
Routledge Books routledgebooks@email.routledge.com,End of Year Sale: EXTRA 15% Off on eBooks!,2025-12-15T08:07:18-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Electrical and Electronic Engineering papers?,2025-12-14T20:04:15+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Analytical Chemistry papers?,2025-12-13T09:41:37+00:00,Chemistry/materials/physical sciences,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,"$1, 30 day trial. Are you the “H. Lee” cited in Engineering papers?",2025-12-10T22:11:41+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Computer Science papers?,2025-12-05T06:59:53+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com","A paper published by a member of the Energy Technologies Area department at Lawrence Berkeley National Laboratory mentions the name ""Hunmin Lee""",2025-12-04T06:12:03+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Engineering papers?,2025-12-03T04:56:36+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Taylor & Francis"" taylorandfrancis@email.taylorandfrancis.com","""High-Efficiency Geographically Weighted Regression based on CUDA: an enhanced algorithm with adaptive kernel for investigating spatial non-stationarity in large-scale observations"" is ready to read",2025-12-02T19:53:26-06:00,Graph machine learning,Secondary — Graph/interpretable biomedical ML,Generic academic promotion,"Publisher recommendation, survey, or sales campaign; topical overlap is not evidence of research identity.",No
Academia Mentions premium@academia-mail.com,"$1, 30 day trial. Are you the “Hunmin Lee” mentioned in Gesture papers?",2025-12-02T03:35:57+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Gesture papers?,2025-11-26T23:21:33+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com","Someone saw ""FedLC: Optimizing Federated..."" in an Academia search",2025-11-26T23:09:16+00:00,"Federated, personalized, prototype, and adaptive learning","Core — Adaptation, personalization, and federated/prototype learning",Current research match,"Exact-title or exact-method alert matches the current federated/adaptive learning profile; the platform alert is a discovery cue, not citation proof.",No
"""Academia.edu"" premium@academia-mail.com","“Lee, Hunmin”: The name ""Lee, Hunmin"" is mentioned in 4 papers uploaded to Academia, including one in a paper by someone in Indianapolis, United States",2025-11-25T04:08:13+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,"$1, 30 day trial. Are you the “Hunmin Lee” cited in Computer Science papers?",2025-11-24T19:33:04+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Routledge Books routledgebooks@email.routledge.com,Don't Forget! 25% Off All Books in Our Black Friday Sale!,2025-11-24T11:05:20-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Gesture Recognition papers?,2025-11-22T18:10:23+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Engineering papers?,2025-11-21T17:30:29+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com",1 of your readers is interested in arXiv,2025-11-21T08:15:11+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
"""DeepLearning.AI"" no-reply@m.mail.coursera.org",Two new DeepLearning.AI programs available on Coursera,2025-11-20T06:59:04+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Course, competition, or scholarship marketing; potentially skill-related when current, but not evidence of the research profile.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in arXiv papers?,2025-11-19T16:16:00+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Artificial Intelligence papers?,2025-11-18T15:35:49+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Routledge Books routledgebooks@email.routledge.com,Black Friday Starts Now! 25% Off All Books! 🛍️,2025-11-18T11:05:09-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
"""Academia.edu"" premium@academia-mail.com","The name ""Hunmin Lee"" is mentioned in a Materials Science paper uploaded to Academia",2025-11-17T04:01:53+00:00,Chemistry/materials/physical sciences,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,"$1, 30 day trial. Are you the “H. Lee” cited in Capacitive Sensing papers?",2025-11-16T14:19:26+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Computer Science papers?,2025-11-14T13:01:33+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Computer Science papers?,2025-11-13T12:20:49+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com",A Stunning Showcase for Your Research,2025-11-13T04:24:54+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Capacitive Sensing papers?,2025-11-11T11:00:43+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Gesture Recognition papers?,2025-11-09T09:54:13+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,"$1, 30 day trial. Are you the “H. Lee” cited in Computer Science papers?",2025-11-08T09:16:02+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
"""Academia.edu"" premium@academia-mail.com",“H. Lee” is mentioned in this PDF recently read by 2 people,2025-11-08T08:49:04+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Engineering papers?,2025-11-06T07:57:58+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Taylor & Francis Editorial Development"" tfdevelopment@email.taylorandfrancis.com",Survey: Technical and Vocational Education and Training (TVET) in Computer Science,2025-11-04T16:09:45-06:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Publisher recommendation, survey, or sales campaign; topical overlap is not evidence of research identity.",No
"""Taylor & Francis"" taylorandfrancis@email.taylorandfrancis.com","""Seasonal and Interannual Variability of Biogeochemical Parameters in the Arabian Sea and its relation to Extreme Climatic Events"" is ready to read",2025-11-04T13:28:00-06:00,Chemistry/materials/physical sciences,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Publisher recommendation, survey, or sales campaign; topical overlap is not evidence of research identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Capacitive Sensing papers?,2025-11-04T06:41:52+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Gesture papers?,2025-11-03T06:06:22+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,"$1, 30 day trial. Are you the “Hunmin Lee” cited in Computer Science papers?",2025-11-01T07:16:39+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Engineering papers?,2025-10-30T08:56:52+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Routledge Books routledgebooks@email.routledge.com,Last Call: October Sale ending soon!,2025-10-29T08:12:32-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Capacitive Sensing papers?,2025-10-28T17:26:43+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Gesture papers?,2025-10-26T13:33:48+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
"""Academia.edu"" premium@academia-mail.com","The name ""Hunmin Lee"" is mentioned in a Computer Science paper uploaded to Academia",2025-10-26T09:58:38+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,"$1, 30 day trial. Are you the “Hunmin Lee” mentioned in Gesture Recognition papers?",2025-10-24T11:56:34+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Taylor & Francis"" taylorandfrancis@email.taylorandfrancis.com","""Consumer Behavior in the TikTok Era: A Comprehensive Review of Trends, Theoretical Framework and Future Avenues"" is ready to read",2025-10-23T20:21:36-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Publisher recommendation, survey, or sales campaign; topical overlap is not evidence of research identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Computer Science papers?,2025-10-23T10:14:46+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com","“Lee, Hunmin”: The name ""Lee, Hunmin"" is mentioned in 4 papers uploaded to Academia, including one in a paper by someone in Indianapolis, United States",2025-10-22T04:01:44+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Engineering papers?,2025-10-21T08:47:19+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Routledge Books routledgebooks@email.routledge.com,Don't Miss Out: 20% Off Print Books & 25% Off eBooks!,2025-10-21T07:15:46-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Gesture papers?,2025-10-18T20:44:44+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Gesture Recognition papers?,2025-10-17T20:03:07+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Routledge Books routledgebooks@email.routledge.com,Extra Savings Alert: Get an Additional 10% Off!,2025-10-14T07:17:30-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Capacitive Sensing papers?,2025-10-13T17:24:39+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com","Hunmin Lee and ""A BPRCNN Based Hand Motion Classifier Using Electric Field Sensors"" are mentioned in a paper uploaded to Academia",2025-10-13T06:14:43+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Computer Science papers?,2025-10-11T16:06:23+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Computer Science papers?,2025-10-09T14:55:58+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,"$1, 30 day trial. Are you the “Hunmin Lee” mentioned in Capacitive Sensing papers?",2025-10-08T14:20:39+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Routledge Books routledgebooks@email.routledge.com,October Exclusive: Save 20% on Print + 25% on eBooks!,2025-10-07T07:05:34-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Engineering papers?,2025-10-04T11:51:50+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Capacitive Sensing papers?,2025-10-03T11:16:19+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Routledge Books routledgebooks@email.routledge.com,Save 30% on selected hardbacks! 📖,2025-09-30T13:07:30-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Gesture papers?,2025-09-29T08:18:18+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Computer Science papers?,2025-09-28T08:04:04+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com","The name ""Hunmin Lee"" is mentioned in an Engineering paper uploaded to Academia",2025-09-27T06:33:07+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Engineering papers?,2025-09-26T06:12:52+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Routledge Books routledgebooks@email.routledge.com,Now In Paperback – grab your favourite title today,2025-09-24T11:56:23-06:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Gesture Recognition papers?,2025-09-24T04:54:02+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,"$1, 30 day trial. Are you the “Hunmin Lee” mentioned in Gesture papers?",2025-09-23T04:14:06+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com","A paper published by a member of the Energy Technologies Area department at Lawrence Berkeley National Laboratory mentions the name ""Hunmin Lee""",2025-09-22T03:34:23+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Computer Science papers?,2025-09-19T01:44:20+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com","H. Lee and ""Real-time Interface Control with Motion Gesture Recognition based on Non-contact Capacitive Sensing"" are mentioned in a paper uploaded to Academia",2025-09-18T05:36:58+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
Routledge Books routledgebooks@email.routledge.com,⏰ Don’t Forget – Back to College Sale Is Still On!,2025-09-18T03:11:37-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Routledge Books routledgebooks@email.routledge.com,🏁 FINAL CALL: EXTRA 10% OFF BEFORE IT'S GONE!,2025-09-18T02:13:37-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,Recurring book-sale/bestseller campaign with no verified connection to the current research profile.,No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” mentioned in Gesture Recognition papers?,2025-09-18T01:07:40+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com","Someone saw ""FedLC: Optimizing Federated..."" in an Academia search",2025-09-17T19:11:08+00:00,"Federated, personalized, prototype, and adaptive learning","Core — Adaptation, personalization, and federated/prototype learning",Current research match,"Exact-title or exact-method alert matches the current federated/adaptive learning profile; the platform alert is a discovery cue, not citation proof.",No
Academia Mentions premium@academia-mail.com,"Free, 30 day trial. Are you the “H. Lee” cited in Gesture papers?",2025-09-15T23:44:19+00:00,Gesture recognition (unspecified modality),Core — Generalizable EMG/biosignal decoding,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
"""Academia.edu"" premium@academia-mail.com",Last reminder: try out Academia Premium for 30 days for just Free,2025-09-15T10:53:05+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Engineering papers?,2025-09-13T22:24:48+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in arXiv papers?,2025-09-12T21:46:54+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
"""Academia.edu"" premium@academia-mail.com","Someone saw ""FedLC: Optimizing Federated..."" in an Academia search",2025-09-12T19:11:04+00:00,"Federated, personalized, prototype, and adaptive learning","Core — Adaptation, personalization, and federated/prototype learning",Current research match,"Exact-title or exact-method alert matches the current federated/adaptive learning profile; the platform alert is a discovery cue, not citation proof.",No
Academia Mentions premium@academia-mail.com,Are you the “Hunmin Lee” cited in Artificial Intelligence papers?,2025-09-10T20:26:14+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Weak keyword matching,"The alert uses only the name plus a broad topic such as computer science, engineering, AI, or gesture recognition, with no verified paper identity.",No
Academia Mentions premium@academia-mail.com,Are you the “H. Lee” cited in Computer Science papers?,2025-09-09T19:44:45+00:00,Generic AI/ML/computing,Misrepresenting/too broad — generic or off-profile label,Possible namesake,"The alert relies on H. Lee/name matching or an off-profile field and does not identify a verified paper, author list, venue, or DOI.",No
"""Taylor & Francis"" taylorandfrancis@email.taylorandfrancis.com","""Dissecting pedestrian behaviour in Ghana: a cluster-based analysis of safety and risk profiles"" is ready to read",2025-09-09T17:04:49-06:00,General education or professional development,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Publisher recommendation, survey, or sales campaign; topical overlap is not evidence of research identity.",No
"""Academia.edu"" premium@academia-mail.com","“Lee, Hunmin”: The name ""Lee, Hunmin"" is mentioned in 4 papers uploaded to Academia, including one in a paper by someone in Indianapolis, United States",2025-09-09T07:50:02+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
Academia Mentions premium@academia-mail.com,"Free, 30 day trial. Are you the “H. Lee” cited in Capacitive Sensing papers?",2025-09-07T18:33:24+00:00,Capacitive/electric-field sensing and hand-motion interfaces,Historical — Capacitive/electric-field sensing,Secondary or historical match,"Exact-title or topic alert matches genuine older capacitive/hand-motion work or a secondary application, but not the present core identity.",No
"""Academia.edu"" premium@academia-mail.com",Remember: you can try Academia Premium for Free for 30 days,2025-09-07T05:11:40+00:00,Generic academic/research,Misrepresenting/too broad — generic or off-profile label,Generic academic promotion,"Platform upsell, readership/profile metric, search-view notice, or other campaign that does not establish research relevance.",No
